id,person_id,house,type,constituency_id,start_date,end_date
5fb32d52-4aee-4bcb-a987-208c7014a8d3,7af17c11-20aa-4980-b69c-358484183f94,Commons,NULL,b0c02237-4af3-49fe-b2ac-88cbbffebf92,2015-05-07,2017-06-08
f24ae153-756b-48b4-aefd-00e2f970cd46,7af17c11-20aa-4980-b69c-358484183f94,Commons,NULL,b0c02237-4af3-49fe-b2ac-88cbbffebf92,2017-06-08,2019-12-12
faf58ce1-7738-481e-be85-c330668b6f76,31ba29e2-2a2c-4a1a-9651-38d2816a0fe6,Commons,NULL,01288739-97d7-4a7c-aa6d-1575820dce06,1974-02-28,1974-10-10
3eaecac6-a6c3-45b5-a744-3e9cb27018e2,31ba29e2-2a2c-4a1a-9651-38d2816a0fe6,Commons,NULL,01288739-97d7-4a7c-aa6d-1575820dce06,1974-10-10,1979-05-03
7840fbbc-176e-4284-8127-05e90a281d75,31ba29e2-2a2c-4a1a-9651-38d2816a0fe6,Commons,NULL,01288739-97d7-4a7c-aa6d-1575820dce06,1979-05-03,1983-06-09
3caa6104-8569-474f-8b9d-6e80dbd5cb9e,31ba29e2-2a2c-4a1a-9651-38d2816a0fe6,Commons,NULL,8449b043-d101-47c5-aca4-e0cf33f920a4,1983-06-09,1987-06-11
c53bfa41-a0d9-4fe9-9b7e-fa19dacb4a85,31ba29e2-2a2c-4a1a-9651-38d2816a0fe6,Commons,NULL,8449b043-d101-47c5-aca4-e0cf33f920a4,1987-06-11,1992-04-09
2830d2cb-5389-4bc2-a5d0-5a0cfd3f6052,31ba29e2-2a2c-4a1a-9651-38d2816a0fe6,Commons,NULL,8449b043-d101-47c5-aca4-e0cf33f920a4,1992-04-09,1997-05-01
a4e4f9d5-2090-4934-ac0d-ab3456ff4d76,fc7fbdaa-de37-48c5-ae4a-30579a2c58fb,Lords,Life peer,NULL,1993-10-13,2018-12-12
7d643d25-53ba-4783-9011-7b901b205de9,b2b582a1-b9a8-4829-b9a8-c2cdaddb0795,Commons,NULL,9cd9705e-ab9d-458b-bcb8-eef8b7d126f5,1966-03-31,1970-06-18
a2905325-ca4d-43af-a969-3466837e5efe,b2b582a1-b9a8-4829-b9a8-c2cdaddb0795,Commons,NULL,9cd9705e-ab9d-458b-bcb8-eef8b7d126f5,1970-06-18,1974-02-28
f4b5c3d6-52c7-4fef-b973-edf30ac4adfe,b2b582a1-b9a8-4829-b9a8-c2cdaddb0795,Commons,NULL,0ffb5361-0af5-481d-bacf-212214ff32e1,1974-02-28,1974-10-10
b54bb06f-8eab-4939-867f-7b75c1626324,b2b582a1-b9a8-4829-b9a8-c2cdaddb0795,Commons,NULL,0ffb5361-0af5-481d-bacf-212214ff32e1,1974-10-10,1979-05-03
987628c6-a8c5-4bb8-b0fe-9128e72de016,b2b582a1-b9a8-4829-b9a8-c2cdaddb0795,Commons,NULL,0ffb5361-0af5-481d-bacf-212214ff32e1,1979-05-03,1983-06-09
bacb20e2-6643-446e-89cd-fbd14fcf6bb9,b2b582a1-b9a8-4829-b9a8-c2cdaddb0795,Commons,NULL,ff77d173-989b-410c-b3e3-c1ad7a02c4df,1987-06-11,1992-04-09
69f14470-f8f7-4451-89f9-ceb7c7e65490,b2b582a1-b9a8-4829-b9a8-c2cdaddb0795,Commons,NULL,ff77d173-989b-410c-b3e3-c1ad7a02c4df,1992-04-09,1997-05-01
91f87917-64bd-4813-bb58-c2d43f43b523,b2b582a1-b9a8-4829-b9a8-c2cdaddb0795,Lords,Life peer,NULL,1997-06-04,1998-03-27
777aa602-4ed3-4b39-a189-711c64cde97d,36982478-95a9-47bd-8a26-7106631cfa9d,Commons,NULL,4e4a69b1-e48b-4306-b40c-64b988b19109,1997-05-01,2001-06-07
70a1b4c3-cec6-41e9-9ff1-3787c94fa177,36982478-95a9-47bd-8a26-7106631cfa9d,Commons,NULL,4e4a69b1-e48b-4306-b40c-64b988b19109,2001-06-07,2005-05-05
b5a88e22-c885-4090-9bf4-2a31839496c4,36982478-95a9-47bd-8a26-7106631cfa9d,Commons,NULL,4e4a69b1-e48b-4306-b40c-64b988b19109,2005-05-05,2010-05-06
1c8d3180-71f0-4786-94b7-7e993fda5eb3,36982478-95a9-47bd-8a26-7106631cfa9d,Commons,NULL,7bb55bf7-88d2-4b76-a2da-8f4f9eb48649,2010-05-06,2015-05-07
8188ed26-9c29-4003-9354-3918d53e2bb5,36982478-95a9-47bd-8a26-7106631cfa9d,Commons,NULL,7bb55bf7-88d2-4b76-a2da-8f4f9eb48649,2015-05-07,2017-06-08
72016a4c-e953-4f93-a1fd-cbaaca207326,36982478-95a9-47bd-8a26-7106631cfa9d,Commons,NULL,7bb55bf7-88d2-4b76-a2da-8f4f9eb48649,2017-06-08,2019-12-12
