id,representation_id,party,start_date,end_date
b08e8403-aa03-4139-b5e9-62fdd9062759,96404792-99a1-4673-976f-d7ffd3a32389,Labour,2017-06-08,2019-12-12
2a4838b0-087c-44a4-a69d-52b82c1f9f89,55436aad-ad04-477c-abb5-06b4dd062fdf,Labour,2019-12-12,NULL
c9ca7d50-8980-4b4a-aaa8-301a4ea4db42,4fdd26b3-7768-45d4-aa4f-58f5142d2ff4,Labour,2019-12-12,NULL
fc7c9be0-7818-45d1-88fd-af716e15a5bf,23de7d2e-480e-4770-9fa2-ca890f9a0588,Conservative,1964-10-16,1966-03-31
afe6f61a-8bfc-4602-9f66-347f7c294ce6,c66a38e3-ed0e-4131-9f75-9ead882bc793,Conservative,1966-03-31,1970-06-18
c12cd622-f14a-45c1-aaa3-4c85faa72bba,73c5cf4e-4e7b-4055-8c97-d0c9fccba57c,Conservative,1970-06-18,1974-02-28
6ce82751-3f6a-4544-9e8d-14579272d285,52cf6b00-f9e1-434c-8927-3f80d4948fe7,Conservative,1974-02-28,1974-10-10
aab9b037-41a5-48b0-a0dd-2236c0e170fc,e9a48684-fbc6-4f95-9d36-d3246f314698,Conservative,1974-10-10,1979-05-03
3466a60f-835d-43fd-96dd-d09678f72c64,b6929fa7-48c9-45cf-886a-6426cc452ae1,Conservative,1979-05-03,1983-06-09
65c8841a-157f-4357-87ec-04bbd817dd87,15c57780-8961-4c57-8523-e2ba0f6f4cf5,Conservative,1983-06-09,1987-06-11
0de9a3ce-b4ec-459c-bebe-fd97b3fe8aed,3c3ce840-810a-4184-8705-b085ef568779,Conservative,1987-06-11,1992-04-09
a164c3f0-4a5d-4d0a-80e5-4ce1de4da60b,ef702a70-0647-4e6f-a0d7-83c66cfce3dc,Conservative,1992-04-09,1997-05-01
2926a49e-1776-4cc2-a57e-56caebd4fb8e,f0f7d9fe-14a9-4721-925b-bfcc0fa78b40,Conservative,2015-05-07,2017-06-08
8d952450-da02-4f5a-801d-a186289ab99e,191581ea-307a-42f7-9f43-fcd0e90536f5,Conservative,2017-06-08,2019-12-12
6b74ce90-d8d9-47b0-8ea6-287f28238027,3c8f8296-e7e0-4604-993c-aa2519a1a215,Conservative,2019-12-12,NULL
64e978dc-01d9-4241-a6a3-6b0218761a92,d5ea03f5-b2a8-4baa-9c9b-2ccf9914d8a4,Liberal Democrat,1997-05-01,2001-06-07
e9da7e62-419a-41db-bda9-25eb79ff5119,c3e5174f-89b0-4838-9e9d-cc4640187c93,Liberal Democrat,2001-06-07,2005-05-05
98400f89-3066-4ffe-ad7e-2db9939bce7a,bc3f9897-f980-4dea-b6b9-2748fa6143fb,Liberal Democrat,2010-07-22,NULL
1a4717da-4091-4fba-bf6a-789dffba8540,7ff540d7-782b-45d7-b03e-9c4d6a50c322,Conservative,1959-10-08,1964-10-15
f399e8bb-6e5a-45b2-944f-410e95657276,18140aa3-e409-48ca-8b29-dced7a27a954,Conservative,1964-10-15,1966-03-31
47bceb7c-a62e-4149-b00e-163675296708,c6e7156d-25d3-421a-b4c5-0d8226724af4,Conservative,1966-03-31,1970-06-18
9c74a017-5612-4e36-a481-0dc0b4512fef,ca5039c7-ac0d-4648-ba30-451636aa4b62,Conservative,1970-06-18,1974-02-28
1252b0d6-bde5-4823-b3af-873100e3b9cd,987be588-a22b-4f8e-a66e-922c4c3ff042,Conservative,1974-02-28,1974-10-10
c69bfefc-31cc-4d6c-821a-2e966d3b1490,2322095d-4cc5-4f62-b92f-b6292df14526,Conservative,1987-06-11,1992-04-09
ba9eb290-890d-45ba-a3ff-bbda12050749,c9c9b97d-72ea-43ec-adf3-4da88b23aa16,Conservative,1992-04-09,1997-05-01
9f861e01-4e46-4cf5-881e-6d9e68f0f8a1,c9c9b97d-72ea-43ec-adf3-4da88b23aa16,Independent,1993-07-26,1997-05-01
6258e165-0f3f-4969-8c2e-fc925994df3b,c9c9b97d-72ea-43ec-adf3-4da88b23aa16,Conservative,1994-07-01,1997-05-01
c787680e-a15b-46a5-9b22-ccf3c8c42aa6,9abc076f-d188-4015-ae81-f91aed0d7cd8,Labour,1955-05-26,1959-10-08
27a83dcb-1ce7-427c-89a1-33c826c6695b,27126ac8-4f79-40ad-a3a3-06d6db734226,Labour,1959-10-08,1964-10-15
c7d42992-3efd-4bca-9e53-a0ae345a9523,baf900ae-1ff2-46b1-b81c-3d26d072929e,Labour,1964-10-15,1966-03-31
21af929e-5ebc-429c-88b3-ee0b4771b97d,df53684d-c080-41e5-b72c-722adb82487b,Labour,1966-03-31,1970-06-18
6d80a0ab-1d99-47b1-991d-c2cdc960702a,bcf84400-f36d-4bfd-992b-d176b93dda7b,Labour,1970-06-18,1974-02-28
11bb8e3e-ff30-4403-a23d-ab9c49dabf2b,f0eeda1f-65c4-4592-a258-76360070fe10,Labour,1974-02-28,1974-10-10
ededfa7d-17d3-4b01-95c9-d79f2e0b1d98,97c71a21-3288-48d9-a20a-08a3232fea10,Labour,1974-10-10,1979-05-03
12f79dee-8fc8-4dc7-a67c-65638cb851d4,dd72c26c-df9c-4647-9c80-9b4cc42370bd,Labour,1979-05-03,1983-06-09
412842aa-dcc3-4727-b9c8-4b6195e6c82a,02f13c90-f402-464e-abf2-b8132466ef9b,Labour,1987-06-11,1992-04-09
0ece8486-66f2-4874-9760-3c1677da4c13,68f4073d-2446-4ad0-86d6-e497a51e1e7d,Labour,1992-04-09,1997-05-01
d45e1770-ca5a-472a-a495-eeb885d1d287,64eb2e17-82a2-4295-9a55-74ebc57f8426,Labour,1997-05-01,2001-06-07
8f42fb37-885c-4182-b8ae-aa231b422070,2f9c50c2-9e98-41cd-9703-53cf271442fa,Labour,2001-06-07,2005-05-05
ab449651-a339-4f6c-a634-ac1549c621cd,e1963f20-0c75-4653-8db8-42c385664b53,Labour,2005-05-05,2010-05-06
ac7fdc7b-96c7-4208-bb68-82f3466a832f,d9af18ea-1130-4f31-b96e-2041dd04bac9,Labour,2010-05-06,2015-05-07
4b80116a-f09a-4e33-87b0-2cefb8f4f42d,2fed2f84-500b-4d23-ab54-88da457cb63c,Labour,2015-05-07,2017-06-08
a2b97551-2448-4d5a-9a28-10140e8ea05c,aec2033f-e51a-4efb-8628-62687bd40bf2,Conservative,2015-05-07,2017-06-08
3878ad51-4102-4e25-a7b9-0c471293082b,db6be73e-dd2e-4b91-9e21-a67cb475e736,Conservative,2017-06-08,2019-02-20
8e1d7540-197b-4ca3-a0ab-9483389f7129,db6be73e-dd2e-4b91-9e21-a67cb475e736,Independent,2019-02-20,2019-04-18
7dac4647-f7a7-48dd-affe-24e9a0ff7857,db6be73e-dd2e-4b91-9e21-a67cb475e736,Change UK - The Independent Group,2019-04-18,2019-06-04
fadbf32e-c4b7-4bf7-baa6-e830fbecba3d,db6be73e-dd2e-4b91-9e21-a67cb475e736,Independent,2019-06-04,2019-10-07
6fff9bf0-2ca8-4559-8a9e-de8e6c35d328,db6be73e-dd2e-4b91-9e21-a67cb475e736,Liberal Democrat,2019-10-07,2019-12-12
42db3fa8-8a34-4efa-81c7-3fced9459518,a6cceebe-59da-495c-afc3-26e01ac2183d,Crossbench,1976-07-21,2007-11-27
80e086a6-ed10-44e2-80a3-7f27ad8e3848,37d93a86-6b0a-40ed-be3b-af3fce4af0f2,Labour,2013-10-02,NULL
366e746a-71a5-4c33-92d7-a06ee0b46501,b9d375ab-f422-4010-bece-a538d9fe35e4,Crossbench,1985-01-08,2014-10-03
97cdabe4-52f2-456f-ae12-5d070cdf436f,d72494b5-3211-46d7-a835-49b98cf34a94,Conservative,1943-03-17,1991-07-01
77cffb9c-846d-4818-867c-ca998897ec8f,ec685bb1-d496-49e0-a498-1d1cd48796cf,Labour,1998-07-18,NULL
d352d03a-1179-4c4b-9b9f-0c05217e9ce2,8e8623e5-8230-4a16-bcfe-4416075203fb,Liberal Democrat,2004-07-01,NULL
c1b4fd1b-9f7d-41b3-8d95-79ca4e8823a9,82dcfc76-9a2a-4db5-b251-5d7798a1678d,Labour,2016-06-16,2017-06-08
