id,id_parliament,id_ifg_website,name,display_name,normalized_name,short_name,gender,start_date,end_date
92f5f079-a659-48b0-9581-1cf350ba35a1,1466.0,,Andrew Murrison,Andrew Murrison,Andrew Murrison,Murrison,M,,
b484b259-c4e1-40cc-8bb1-1d1e6148244e,4481.0,471.0,Alex Chalk,Alex Chalk,Alex Chalk,Chalk,M,,
38008132-1168-431d-9b92-1d77788a7877,454.0,,Michael Meacher,Michael Meacher,Michael Meacher,Meacher,M,,
77c73c58-7b4c-45e7-afc8-1d875cad7474,4504.0,,Wes Streeting,Wes Streeting,Wes Streeting,Streeting,M,,
cfe04164-7a6a-4427-9b8d-1db30be740af,1880.0,,Lord Macdonald of Tradeston,Lord Macdonald of Tradeston,Lord Macdonald of Tradeston,Macdonald,M,1998-08-03,
1592cb46-2b84-4368-98f1-1dfc9b44f0ed,5364.0,,Lord Timpson,Lord Timpson,Lord Timpson,Timpson,M,2024-07-05,
34c02440-baff-4ba5-a890-1e5fd9c6926e,4645.0,,Emma Hardy,Emma Hardy,Emma Hardy,Hardy,F,,
eb1b3a8f-6f3d-49ef-8464-1ec6b900e7d1,309.0,,Ross Cranston,Ross Cranston,Ross Cranston,Cranston,M,,
89098632-dfef-46d5-a8f0-1ed0096afcb9,4520.0,,Matthew Pennycook,Matthew Pennycook,Matthew Pennycook,Pennycook,M,,
462bf864-8bcb-4e8b-949b-1ed67a26e768,4483.0,370.0,Rishi Sunak,Rishi Sunak,Rishi Sunak,Sunak,M,,
7a13575f-aaef-44f8-bbaa-1ef10d4ee27a,1444.0,,Mark Francois,Mark Francois,Mark Francois,Francois,M,,
94ffe84c-7630-4a60-8107-1f128e907c19,361.0,,Alan Meale,Alan Meale,Alan Meale,Meale,M,,
1c4737bd-d8c3-4bfc-a7b0-1f324bf34ccc,4745.0,,Rob Butler,Rob Butler,Rob Butler,Butler,M,,
9a189283-95b3-49eb-a728-1fbb4b8cc61c,1220.0,,Charles Hendry,Charles Hendry,Charles Hendry,Hendry,M,,
17adb1f3-f086-4099-9a3d-201dca9f43d2,120.0,,Malcolm Moss,Malcolm Moss,Malcolm Moss,Moss,M,,
16c06039-98dd-4305-95f4-202784821a84,1571.0,375.0,Michael Gove,Michael Gove,Michael Gove,Gove,M,,
39f74d94-7747-47f0-845a-20573287a7cf,4425.0,,Jo Stevens,Jo Stevens,Jo Stevens,Stevens,F,,
a860e135-02cc-4c66-88ab-20896dd0b4df,3472.0,,Lord Annaly,Lord Annaly,Lord Annaly,Annaly,M,,
fe5d7f56-f756-4a3a-b054-20957cdac59e,104.0,,Crispin Blunt,Crispin Blunt,Crispin Blunt,Blunt,M,,
5bb26ad3-1020-43e3-9e28-20cbf1162554,3312.0,,Lord Cavendish of Furness,Lord Cavendish of Furness,Lord Cavendish of Furness,Cavendish,M,,
fdbfa68d-bc4b-4b6a-aa36-20da6d1b4c53,1140.0,,Edwina Currie,Edwina Currie,Edwina Currie,Currie,F,,
0510d177-83c2-425a-b998-2112e5e4c647,1270.0,,Jerry Wiggin,Jerry Wiggin,Jerry Wiggin,Wiggin,M,,
a851955d-376c-4b10-bac5-2144383d4502,232.0,,David Jamieson,David Jamieson,David Jamieson,Jamieson,M,,
304ba15a-4b44-4182-a6a7-216b5798d0d4,709.0,,Leon Brittan,Leon Brittan,Leon Brittan,Brittan,M,,2000-02-01
304ba15a-4b44-4182-a6a7-216b5798d0d4,709.0,,Lord Brittan of Spennithorne,Lord Brittan of Spennithorne,Lord Brittan of Spennithorne,Brittan,M,2000-02-09,
427530a0-f14c-4ef3-8365-21f561d1144b,4253.0,,Seema Malhotra,Seema Malhotra,Seema Malhotra,Malhotra,F,,
10abfb52-9fb9-4eb8-a8ea-2222a23e7192,4382.0,,Daniel Zeichner,Daniel Zeichner,Daniel Zeichner,Zeichner,M,,
706999b4-4603-424c-84ec-223beeff8826,4535.0,,Lord Bridges of Headley,Lord Bridges of Headley,Lord Bridges of Headley,Bridges,M,2015-05-14,
08550a13-139d-414a-9e21-230eada897ff,1049.0,,Reginald Eyre,Reginald Eyre,Reginald Eyre,Eyre,M,,
b01a4b5c-4d80-40a1-ab25-23298fbba16f,523.0,,Nick Brown,Nick Brown,Nick Brown,Brown,M,,
b1254407-71f8-4ba8-a5d1-2337c68f2579,4855.0,,Sarah Atherton,Sarah Atherton,Sarah Atherton,Atherton,F,,
d3488ff6-353c-4fb4-80d3-2344fa483767,596.0,,Alistair Darling,Alistair Darling,Alistair Darling,Darling,M,,2015-12-01
d3488ff6-353c-4fb4-80d3-2344fa483767,596.0,,Lord Darling of Roulanish,Lord Darling of Roulanish,Lord Darling of Roulanish,Darling,M,2015-12-01,
266845e2-0216-43dc-a3d6-237a78ee5bbb,1414.0,,Mark Hoban,Mark Hoban,Mark Hoban,Hoban,M,,
d76233e4-e3b6-4d90-ad97-240e5458f9b4,1198.0,,David Evennett,David Evennett,David Evennett,Evennett,M,,
76b6fe84-9252-406e-8ce6-2416cc4eb8ed,1879.0,,Lord Lucas,Lord Lucas,Lord Lucas,Lucas,M,,
6dc90019-3fb0-4093-8d05-241e82149176,875.0,,Douglas Hurd,Douglas Hurd,Douglas Hurd,Hurd,M,,1997-06-13
6dc90019-3fb0-4093-8d05-241e82149176,875.0,,Lord Hurd of Westwell,Lord Hurd of Westwell,Lord Hurd of Westwell,Hurd,M,1997-06-13,
66278407-2969-4f54-88f3-24a3925c9d6d,2223.0,,Lord Strathcona and Mount Royal,Lord Strathcona and Mount Royal,Lord Strathcona and Mount Royal,Royal,M,,
2fb7e8d7-1419-45da-9786-24d0e610379f,638.0,,Michael Moore,Michael Moore,Michael Moore,Moore,M,,
36401bdf-ed9f-44fb-8877-251f8b98f2a1,3985.0,,Robert Halfon,Robert Halfon,Robert Halfon,Halfon,M,,
a4c27049-4f8c-48f8-b1f6-25e3f03242d9,836.0,,Lord Freeman,Lord Freeman,Lord Freeman,Freeman,M,1997-10-29,
a4c27049-4f8c-48f8-b1f6-25e3f03242d9,836.0,,Roger Freeman,Roger Freeman,Roger Freeman,Freeman,M,,1997-10-29
76dcdd06-5aa7-4a7e-8f9a-25fce67ab017,533.0,,David Hanson,David Hanson,David Hanson,Hanson,M,,2024-07-09
76dcdd06-5aa7-4a7e-8f9a-25fce67ab017,533.0,,Lord Hanson of Flint,Lord Hanson of Flint,Lord Hanson of Flint,Hanson,M,2024-07-09,
82e467a3-2e0e-4674-8d27-2640005b613a,349.0,,Douglas Hogg,Douglas Hogg,Douglas Hogg,Hogg,M,,2015-10-12
82e467a3-2e0e-4674-8d27-2640005b613a,349.0,,Viscount Hailsham,Viscount Hailsham,Viscount Hailsham,Hailsham,M,2015-10-12,
8d62f58b-b70c-476c-a597-2693e6c4c3f4,4278.0,,Lord Livingston of Parkhead,Lord Livingston of Parkhead,Lord Livingston of Parkhead,Livingston,M,,
f43c0721-1d90-4813-95d0-26c0a87beacd,970.0,,Humphrey Atkins,Humphrey Atkins,Humphrey Atkins,Atkins,M,,
e3391325-fc84-4809-a393-26db09b050ec,3651.0,,Lord Triesman,Lord Triesman,Lord Triesman,Triesman,M,2003-12-12,
785f94ba-9465-4c14-be2c-2771c74d6c8e,734.0,,Jeremy Hanley,Jeremy Hanley,Jeremy Hanley,Hanley,M,,
d7ccc877-b8d4-46bc-82b8-277a8521e1e5,1093.0,,Adam Butler,Adam Butler,Adam Butler,Butler,M,,
b8a6a19a-6396-47d2-a3b8-27a1c84a613f,1581.0,,Peter Bone,Peter Bone,Peter Bone,Bone,M,,
5508a03f-d2e6-4eda-a2ca-27dc74a0a0eb,527.0,,Chris Mullin,Chris Mullin,Chris Mullin,Mullin,M,,
7dbd2f3c-8d2d-4f7d-ae0b-2895fd9c87c4,524.0,,Stephen Byers,Stephen Byers,Stephen Byers,Byers,M,,
